dataset,model,method,method_id,direction,N,variation,s2,trough_uv,s7
lit,wav2vec2-medium,method_74_counter,74,counter,3,3,True,-0.2724,False
lit,wav2vec2-medium,method_74_counter,74,counter,3,4,True,-0.06976,False
lit,wav2vec2-medium,method_74_counter,74,counter,3,5,True,-0.27315,False
lit,wav2vec2-medium,method_74_counter,74,counter,5,1,True,-0.07318,False
lit,wav2vec2-medium,method_74_counter,74,counter,5,2,True,-0.07318,False
lit,wav2vec2-medium,method_74_counter,74,counter,5,3,True,-0.07318,False
lit,wav2vec2-medium,method_74_counter,74,counter,5,4,True,-0.07318,False
lit,wav2vec2-medium,method_74_counter,74,counter,5,5,True,-0.07318,False
lit,wav2vec2-medium,method_74_counter,74,counter,7,1,True,-0.08284,False
lit,wav2vec2-medium,method_74_counter,74,counter,7,2,True,-0.08284,False
lit,wav2vec2-medium,method_74_counter,74,counter,7,3,True,-0.08284,False
lit,wav2vec2-medium,method_74_counter,74,counter,7,4,True,-0.08284,False
lit,wav2vec2-medium,method_74_counter,74,counter,7,5,True,-0.08284,False
lit,wav2vec2-medium,method_75,75,regular,3,1,True,-1.08214,True
lit,wav2vec2-medium,method_75,75,regular,3,2,True,-1.27547,True
lit,wav2vec2-medium,method_75,75,regular,3,3,True,-1.26952,True
lit,wav2vec2-medium,method_75,75,regular,3,4,True,-0.8088,True
lit,wav2vec2-medium,method_75,75,regular,3,5,True,-1.3115,True
lit,wav2vec2-medium,method_75,75,regular,5,1,True,-1.02603,True
lit,wav2vec2-medium,method_75,75,regular,5,2,True,-1.00752,True
lit,wav2vec2-medium,method_75,75,regular,5,3,True,-0.73257,False
lit,wav2vec2-medium,method_75,75,regular,5,4,True,-1.00791,True
lit,wav2vec2-medium,method_75,75,regular,5,5,True,-0.87567,True
lit,wav2vec2-medium,method_75,75,regular,7,1,True,-0.88607,True
lit,wav2vec2-medium,method_75,75,regular,7,2,True,-0.85652,True
lit,wav2vec2-medium,method_75,75,regular,7,3,True,-0.85716,True
lit,wav2vec2-medium,method_75,75,regular,7,4,True,-0.7391,False
lit,wav2vec2-medium,method_75,75,regular,7,5,True,-0.73881,False
lit,wav2vec2-medium,method_75_counter,75,counter,3,1,True,-0.49869,False
lit,wav2vec2-medium,method_75_counter,75,counter,3,2,True,-0.35067,False
lit,wav2vec2-medium,method_75_counter,75,counter,3,3,True,-0.37383,False
lit,wav2vec2-medium,method_75_counter,75,counter,3,4,True,-0.89846,True
lit,wav2vec2-medium,method_75_counter,75,counter,3,5,True,-0.32434,False
lit,wav2vec2-medium,method_75_counter,75,counter,5,1,True,-0.5835,False
lit,wav2vec2-medium,method_75_counter,75,counter,5,2,True,-0.58002,False
lit,wav2vec2-medium,method_75_counter,75,counter,5,3,True,-0.98018,True
lit,wav2vec2-medium,method_75_counter,75,counter,5,4,True,-0.57918,False
lit,wav2vec2-medium,method_75_counter,75,counter,5,5,True,-0.74403,False
lit,wav2vec2-medium,method_75_counter,75,counter,7,1,True,-0.74784,False
lit,wav2vec2-medium,method_75_counter,75,counter,7,2,True,-0.74194,False
lit,wav2vec2-medium,method_75_counter,75,counter,7,3,True,-0.74159,False
lit,wav2vec2-medium,method_75_counter,75,counter,7,4,True,-0.98664,True
lit,wav2vec2-medium,method_75_counter,75,counter,7,5,True,-0.98607,True
lit,whisper-base,method_09,9,regular,3,1,False,0.41182,False
lit,whisper-base,method_09,9,regular,3,2,False,0.33107,False
lit,whisper-base,method_09,9,regular,3,3,False,0.30879,False
lit,whisper-base,method_09,9,regular,3,4,False,0.39025,False
lit,whisper-base,method_09,9,regular,3,5,False,0.44721,False
lit,whisper-base,method_09,9,regular,5,1,False,0.39706,False
lit,whisper-base,method_09,9,regular,5,2,False,0.37923,False
lit,whisper-base,method_09,9,regular,5,3,False,0.41559,False
lit,whisper-base,method_09,9,regular,5,4,False,0.39516,False
lit,whisper-base,method_09,9,regular,5,5,False,0.41352,False
lit,whisper-base,method_09,9,regular,7,1,False,0.35894,False
lit,whisper-base,method_09,9,regular,7,2,False,0.34571,False
lit,whisper-base,method_09,9,regular,7,3,False,0.41681,False
lit,whisper-base,method_09,9,regular,7,4,False,0.37648,False
lit,whisper-base,method_09,9,regular,7,5,False,0.41753,False
lit,whisper-base,method_09_counter,9,counter,3,1,True,-0.42781,False
lit,whisper-base,method_09_counter,9,counter,3,2,True,-0.39653,False
lit,whisper-base,method_09_counter,9,counter,3,3,True,-0.40015,False
lit,whisper-base,method_09_counter,9,counter,3,4,True,-0.46213,False
lit,whisper-base,method_09_counter,9,counter,3,5,True,-0.46583,False
lit,whisper-base,method_09_counter,9,counter,5,1,True,-0.3394,False
lit,whisper-base,method_09_counter,9,counter,5,2,True,-0.40449,False
lit,whisper-base,method_09_counter,9,counter,5,3,True,-0.42666,False
lit,whisper-base,method_09_counter,9,counter,5,4,True,-0.38013,False
lit,whisper-base,method_09_counter,9,counter,5,5,True,-0.40136,False
lit,whisper-base,method_09_counter,9,counter,7,1,True,-0.2684,False
lit,whisper-base,method_09_counter,9,counter,7,2,True,-0.24126,False
lit,whisper-base,method_09_counter,9,counter,7,3,True,-0.34352,False
lit,whisper-base,method_09_counter,9,counter,7,4,True,-0.33365,False
lit,whisper-base,method_09_counter,9,counter,7,5,True,-0.28617,False
lit,whisper-base,method_10,10,regular,3,1,False,0.17114,False
lit,whisper-base,method_10,10,regular,3,2,False,0.16205,False
lit,whisper-base,method_10,10,regular,3,3,False,0.17997,False
lit,whisper-base,method_10,10,regular,3,4,True,-0.1905,False
lit,whisper-base,method_10,10,regular,3,5,False,0.18103,False
lit,whisper-base,method_10,10,regular,5,1,False,0.12889,False
lit,whisper-base,method_10,10,regular,5,2,False,0.12948,False
lit,whisper-base,method_10,10,regular,5,3,False,0.12476,False
lit,whisper-base,method_10,10,regular,5,4,False,0.12345,False
lit,whisper-base,method_10,10,regular,5,5,False,0.14582,False
lit,whisper-base,method_10,10,regular,7,1,False,0.11801,False
lit,whisper-base,method_10,10,regular,7,2,False,0.10703,False
lit,whisper-base,method_10,10,regular,7,3,False,0.11543,False
lit,whisper-base,method_10,10,regular,7,4,False,0.12267,False
lit,whisper-base,method_10,10,regular,7,5,False,0.11243,False
lit,whisper-base,method_10_counter,10,counter,3,1,True,-0.59564,False
lit,whisper-base,method_10_counter,10,counter,3,2,True,-0.61495,False
lit,whisper-base,method_10_counter,10,counter,3,3,True,-0.61884,False
lit,whisper-base,method_10_counter,10,counter,3,4,True,-0.49219,False
lit,whisper-base,method_10_counter,10,counter,3,5,True,-0.62285,False
lit,whisper-base,method_10_counter,10,counter,5,1,True,-0.39034,False
lit,whisper-base,method_10_counter,10,counter,5,2,True,-0.39947,False
lit,whisper-base,method_10_counter,10,counter,5,3,True,-0.39849,False
lit,whisper-base,method_10_counter,10,counter,5,4,True,-0.3963,False
lit,whisper-base,method_10_counter,10,counter,5,5,True,-0.39099,False
lit,whisper-base,method_10_counter,10,counter,7,1,True,-0.39964,False
lit,whisper-base,method_10_counter,10,counter,7,2,True,-0.40184,False
lit,whisper-base,method_10_counter,10,counter,7,3,True,-0.40493,False
lit,whisper-base,method_10_counter,10,counter,7,4,True,-0.40492,False
lit,whisper-base,method_10_counter,10,counter,7,5,True,-0.39048,False
lit,whisper-base,method_12,12,regular,3,1,True,-0.43172,False
lit,whisper-base,method_12,12,regular,3,2,True,-0.42781,False
lit,whisper-base,method_12,12,regular,3,3,True,-0.42006,False
lit,whisper-base,method_12,12,regular,3,4,True,-0.42668,False
lit,whisper-base,method_12,12,regular,3,5,True,-0.44162,False
lit,whisper-base,method_12,12,regular,5,1,True,-0.44431,False
lit,whisper-base,method_12,12,regular,5,2,True,-0.4432,False
lit,whisper-base,method_12,12,regular,5,3,True,-0.43804,False
lit,whisper-base,method_12,12,regular,5,4,True,-0.44119,False
lit,whisper-base,method_12,12,regular,5,5,True,-0.43815,False
lit,whisper-base,method_12,12,regular,7,1,True,-0.44174,False
lit,whisper-base,method_12,12,regular,7,2,True,-0.45216,False
lit,whisper-base,method_12,12,regular,7,3,True,-0.44782,False
lit,whisper-base,method_12,12,regular,7,4,True,-0.42773,False
lit,whisper-base,method_12,12,regular,7,5,True,-0.42091,False
lit,whisper-base,method_12_counter,12,counter,3,1,True,-0.76467,True
lit,whisper-base,method_12_counter,12,counter,3,2,True,-0.79075,True
lit,whisper-base,method_12_counter,12,counter,3,3,True,-0.73701,False
lit,whisper-base,method_12_counter,12,counter,3,4,True,-0.77467,True
lit,whisper-base,method_12_counter,12,counter,3,5,True,-0.92166,True
lit,whisper-base,method_12_counter,12,counter,5,1,True,-0.76862,True
lit,whisper-base,method_12_counter,12,counter,5,2,True,-0.81071,True
lit,whisper-base,method_12_counter,12,counter,5,3,True,-0.83551,True
lit,whisper-base,method_12_counter,12,counter,5,4,True,-0.8134,True
lit,whisper-base,method_12_counter,12,counter,5,5,True,-0.82643,True
lit,whisper-base,method_12_counter,12,counter,7,1,True,-0.85447,True
lit,whisper-base,method_12_counter,12,counter,7,2,True,-0.79555,True
lit,whisper-base,method_12_counter,12,counter,7,3,True,-0.83586,True
lit,whisper-base,method_12_counter,12,counter,7,4,True,-0.88903,True
lit,whisper-base,method_12_counter,12,counter,7,5,True,-0.87543,True
lit,whisper-base,method_17,17,regular,3,1,True,-1.28333,True
lit,whisper-base,method_17,17,regular,3,2,True,-1.25179,True
lit,whisper-base,method_17,17,regular,3,3,True,-1.29608,True
lit,whisper-base,method_17,17,regular,3,4,True,-1.32376,True
lit,whisper-base,method_17,17,regular,3,5,True,-1.28853,True
lit,whisper-base,method_17,17,regular,5,1,True,-1.16805,True
lit,whisper-base,method_17,17,regular,5,2,True,-1.25146,True
lit,whisper-base,method_17,17,regular,5,3,True,-1.17384,True
lit,whisper-base,method_17,17,regular,5,4,True,-1.17315,True
lit,whisper-base,method_17,17,regular,5,5,True,-1.21592,True
lit,whisper-base,method_17,17,regular,7,1,True,-1.26176,True
lit,whisper-base,method_17,17,regular,7,2,True,-1.23046,True
lit,whisper-base,method_17,17,regular,7,3,True,-1.31604,True
lit,whisper-base,method_17,17,regular,7,4,True,-1.2569,True
lit,whisper-base,method_17,17,regular,7,5,True,-1.27659,True
lit,whisper-base,method_17_counter,17,counter,3,1,True,-1.25914,True
lit,whisper-base,method_17_counter,17,counter,3,2,True,-1.21651,True
lit,whisper-base,method_17_counter,17,counter,3,3,True,-1.22061,True
lit,whisper-base,method_17_counter,17,counter,3,4,True,-1.21566,True
lit,whisper-base,method_17_counter,17,counter,3,5,True,-1.24593,True
lit,whisper-base,method_17_counter,17,counter,5,1,True,-1.34467,True
lit,whisper-base,method_17_counter,17,counter,5,2,True,-1.32584,True
lit,whisper-base,method_17_counter,17,counter,5,3,True,-1.31725,True
lit,whisper-base,method_17_counter,17,counter,5,4,True,-1.36795,True
lit,whisper-base,method_17_counter,17,counter,5,5,True,-1.36194,True
lit,whisper-base,method_17_counter,17,counter,7,1,True,-1.43646,True
lit,whisper-base,method_17_counter,17,counter,7,2,True,-1.47987,True
