site,method,mean_pct,sd_pct,n_s2,method_id,dirn,st,soa,hz
frontal,method_12_counter,46.50455927051672,27.369691305451063,7,12,counter,3.1564128700055254,400,1200→1000
frontal,method_27,43.161094224924014,18.939528179206356,4,27,regular,1.0739778100692317,900,1000→1064
frontal,method_44,43.16109422492401,29.525554880439856,6,44,regular,7.916671142804949,510,633→1000
frontal,method_09,42.857142857142854,31.35269777076626,4,9,regular,8.843587129994475,630,600→1000
frontal,method_72_counter,42.5531914893617,20.370789526730597,7,72,counter,3.1564128700055254,500,1200→1000
frontal,method_75_counter,42.24924012158055,20.38665668961415,7,75,counter,3.1564128700055254,500,1200→1000
frontal,method_43,38.60182370820669,33.807445484619514,4,43,regular,1.74179306884785,510,633→700
frontal,method_55,37.38601823708206,23.27031768179225,5,55,regular,12.0,500,1000→2000
frontal,method_43_counter,34.04255319148937,23.66074796824437,5,43,counter,1.74179306884785,510,700→633
frontal,method_27_counter,30.69908814589666,20.066929765750025,5,27,counter,1.0739778100692317,900,1064→1000
frontal,method_74,22.79635258358663,20.691030304094237,5,74,regular,7.019550008653875,1000,1000→1500
frontal,method_37_counter,17.325227963525837,15.60744152373515,4,37,counter,0.8446719346967759,310,1050→1000
frontal,method_19,14.589665653495441,16.591587560284644,4,19,regular,10.65030324889905,200,1000→1850
frontal,method_18,13.677811550151976,15.86769762954561,4,18,regular,10.65030324889905,200,1000→1850
frontal,method_17,13.37386018237082,16.190463509980287,4,17,regular,10.65030324889905,200,1000→1850
FCz,method_21,82.06686930091186,15.724404370209434,6,21,regular,10.65030324889905,500,1000→1850
FCz,method_20,81.15501519756837,16.500388508376854,6,20,regular,10.65030324889905,500,1000→1850
FCz,method_55_counter,76.2917933130699,28.318090453135845,6,55,counter,12.0,500,2000→1000
FCz,method_10_counter,72.9483282674772,12.98362224220467,7,10,counter,1.9928721113604713,300,1122→1000
FCz,method_44_counter,68.08510638297872,32.52374322779603,6,44,counter,7.916671142804949,510,1000→633
FCz,method_60,66.26139817629179,31.520699650487963,4,60,regular,7.019550008653875,300,1000→1500
FCz,method_19_counter,65.34954407294833,38.64527785772276,6,19,counter,10.65030324889905,200,1850→1000
FCz,method_60_counter,65.04559270516718,33.72764684271523,7,60,counter,7.019550008653875,300,1500→1000
FCz,method_18_counter,65.04559270516717,38.745554082430985,6,18,counter,10.65030324889905,200,1850→1000
FCz,method_20_counter,64.43768996960486,21.826727756043056,7,20,counter,10.65030324889905,500,1850→1000
FCz,method_21_counter,64.1337386018237,23.418067214903612,7,21,counter,10.65030324889905,500,1850→1000
FCz,method_17_counter,63.22188449848026,37.63641323503822,6,17,counter,10.65030324889905,200,1850→1000
FCz,method_53_counter,62.61398176291794,28.169257736407687,6,53,counter,3.1564128700055254,333,1200→1000
FCz,method_53,57.142857142857146,25.33697957968698,6,53,regular,3.1564128700055254,333,1000→1200
FCz,method_72,53.79939209726444,22.74089844135125,7,72,regular,3.1564128700055254,500,1000→1200
FCz,method_29_counter,53.49544072948328,24.977085361630404,6,29,counter,3.1564128700055254,350,1200→1000
FCz,method_31_counter,53.49544072948328,27.342110813433454,6,31,counter,3.1564128700055254,350,1200→1000
FCz,method_32_counter,53.19148936170213,27.385439115330247,6,32,counter,3.1564128700055254,350,1200→1000
FCz,method_33,52.887537993920965,29.338786705566367,6,33,regular,3.1564128700055254,600,1000→1200
FCz,method_55,52.27963525835867,37.75935698703244,7,55,regular,12.0,500,1000→2000
FCz,method_28_counter,52.27963525835866,24.92957162401286,6,28,counter,3.1564128700055254,350,1200→1000
FCz,method_30_counter,52.27963525835865,28.594592778459038,6,30,counter,3.1564128700055254,350,1200→1000
