site,stat,value,p,extra
FCz,fleiss_kappa_floor_S7@0.25,0.07002843601895734,0.018196360727854428,base_rate=0.628
FCz,agree_k0_S7@0.25,0.0,,null=0.04
FCz,agree_k1_S7@0.25,3.0,,null=0.54
FCz,agree_k2_S7@0.25,3.0,,null=2.75
FCz,agree_k3_S7@0.25,6.0,,null=8.00
FCz,agree_k4_S7@0.25,12.0,,null=13.56
FCz,agree_k5_S7@0.25,9.0,,null=13.74
FCz,agree_k6_S7@0.25,14.0,,null=7.58
FCz,agree_k7_S7@0.25,1.0,,null=1.80
FCz,fleiss_kappa_floor_S7@0.5,0.12102272727272712,0.0003999200159968006,base_rate=0.524
FCz,agree_k0_S7@0.5,1.0,,null=0.22
FCz,agree_k1_S7@0.5,6.0,,null=1.87
FCz,agree_k2_S7@0.5,4.0,,null=6.68
FCz,agree_k3_S7@0.5,14.0,,null=12.68
FCz,agree_k4_S7@0.5,5.0,,null=14.00
FCz,agree_k5_S7@0.5,9.0,,null=9.00
FCz,agree_k6_S7@0.5,8.0,,null=3.10
FCz,agree_k7_S7@0.5,1.0,,null=0.45
FCz,fleiss_kappa_floor_S7@0.75,0.028546332894158685,0.11377724455108978,base_rate=0.411
FCz,agree_k0_S7@0.75,4.0,,null=0.97
FCz,agree_k1_S7@0.75,5.0,,null=5.53
FCz,agree_k2_S7@0.75,4.0,,null=12.30
FCz,agree_k3_S7@0.75,21.0,,null=14.60
FCz,agree_k4_S7@0.75,10.0,,null=9.87
FCz,agree_k5_S7@0.75,2.0,,null=3.85
FCz,agree_k6_S7@0.75,2.0,,null=0.80
FCz,agree_k7_S7@0.75,0.0,,null=0.07
FCz,fleiss_kappa_floor_S7@1.0,0.022321428571428492,0.09678064387122576,base_rate=0.333
FCz,agree_k0_S7@1.0,8.0,,null=2.23
FCz,agree_k1_S7@1.0,4.0,,null=9.65
FCz,agree_k2_S7@1.0,9.0,,null=15.54
FCz,agree_k3_S7@1.0,18.0,,null=12.95
FCz,agree_k4_S7@1.0,9.0,,null=5.92
FCz,agree_k5_S7@1.0,0.0,,null=1.50
FCz,agree_k6_S7@1.0,0.0,,null=0.20
FCz,agree_k7_S7@1.0,0.0,,null=0.01
FCz,fleiss_kappa_floor_S7@1.5,0.004208754208754241,0.05078984203159368,base_rate=0.214
FCz,agree_k0_S7@1.5,11.0,,null=6.59
FCz,agree_k1_S7@1.5,14.0,,null=18.69
FCz,agree_k2_S7@1.5,11.0,,null=15.92
FCz,agree_k3_S7@1.5,12.0,,null=5.80
FCz,agree_k4_S7@1.5,0.0,,null=0.95
FCz,agree_k5_S7@1.5,0.0,,null=0.06
FCz,agree_k6_S7@1.5,0.0,,null=0.00
FCz,agree_k7_S7@1.5,0.0,,null=0.00
FCz,fleiss_kappa_floor_S7@2.5,-0.04008254623382894,0.14077184563087383,base_rate=0.128
FCz,agree_k0_S7@2.5,17.0,,null=13.59
FCz,agree_k1_S7@2.5,19.0,,null=26.58
FCz,agree_k2_S7@2.5,12.0,,null=7.10
FCz,agree_k3_S7@2.5,0.0,,null=0.70
FCz,agree_k4_S7@2.5,0.0,,null=0.03
FCz,agree_k5_S7@2.5,0.0,,null=0.00
FCz,agree_k6_S7@2.5,0.0,,null=0.00
FCz,agree_k7_S7@2.5,0.0,,null=0.00
frontal,cum_S2_ge7,10.0,,of 48
frontal,cum_S2_ge6,23.0,,of 48
frontal,cum_S2_ge5,37.0,,of 48
frontal,cum_S2_ge4,47.0,,of 48
frontal,cum_S2_ge3,48.0,,of 48
frontal,cum_S2_ge2,48.0,,of 48
frontal,cum_S2_ge1,48.0,,of 48
frontal,cum_S7@0.25_ge7,0.0,,of 48
frontal,cum_S7@0.25_ge6,13.0,,of 48
frontal,cum_S7@0.25_ge5,31.0,,of 48
frontal,cum_S7@0.25_ge4,41.0,,of 48
frontal,cum_S7@0.25_ge3,43.0,,of 48
frontal,cum_S7@0.25_ge2,45.0,,of 48
frontal,cum_S7@0.25_ge1,45.0,,of 48
frontal,cum_S7@0.5_ge7,0.0,,of 48
frontal,cum_S7@0.5_ge6,9.0,,of 48
frontal,cum_S7@0.5_ge5,29.0,,of 48
frontal,cum_S7@0.5_ge4,37.0,,of 48
frontal,cum_S7@0.5_ge3,42.0,,of 48
frontal,cum_S7@0.5_ge2,45.0,,of 48
frontal,cum_S7@0.5_ge1,45.0,,of 48
frontal,cum_S7@0.75_ge7,0.0,,of 48
frontal,cum_S7@0.75_ge6,4.0,,of 48
frontal,cum_S7@0.75_ge5,25.0,,of 48
frontal,cum_S7@0.75_ge4,33.0,,of 48
frontal,cum_S7@0.75_ge3,40.0,,of 48
frontal,cum_S7@0.75_ge2,45.0,,of 48
frontal,cum_S7@0.75_ge1,45.0,,of 48
frontal,cum_S7@1.0_ge7,0.0,,of 48
frontal,cum_S7@1.0_ge6,1.0,,of 48
frontal,cum_S7@1.0_ge5,15.0,,of 48
frontal,cum_S7@1.0_ge4,24.0,,of 48
frontal,cum_S7@1.0_ge3,39.0,,of 48
frontal,cum_S7@1.0_ge2,45.0,,of 48
frontal,cum_S7@1.0_ge1,45.0,,of 48
frontal,cum_S7@1.5_ge7,0.0,,of 48
frontal,cum_S7@1.5_ge6,1.0,,of 48
frontal,cum_S7@1.5_ge5,4.0,,of 48
frontal,cum_S7@1.5_ge4,17.0,,of 48
frontal,cum_S7@1.5_ge3,30.0,,of 48
frontal,cum_S7@1.5_ge2,41.0,,of 48
frontal,cum_S7@1.5_ge1,45.0,,of 48
frontal,cum_S7@2.5_ge7,0.0,,of 48
frontal,cum_S7@2.5_ge6,0.0,,of 48
frontal,cum_S7@2.5_ge5,1.0,,of 48
frontal,cum_S7@2.5_ge4,6.0,,of 48
frontal,cum_S7@2.5_ge3,16.0,,of 48
frontal,cum_S7@2.5_ge2,29.0,,of 48
frontal,cum_S7@2.5_ge1,41.0,,of 48
FCz,cum_S2_ge7,9.0,,of 48
FCz,cum_S2_ge6,34.0,,of 48
FCz,cum_S2_ge5,39.0,,of 48
FCz,cum_S2_ge4,45.0,,of 48
FCz,cum_S2_ge3,45.0,,of 48
FCz,cum_S2_ge2,45.0,,of 48
FCz,cum_S2_ge1,48.0,,of 48
FCz,cum_S7@0.25_ge7,1.0,,of 48
FCz,cum_S7@0.25_ge6,15.0,,of 48
FCz,cum_S7@0.25_ge5,24.0,,of 48
FCz,cum_S7@0.25_ge4,36.0,,of 48
FCz,cum_S7@0.25_ge3,42.0,,of 48
FCz,cum_S7@0.25_ge2,45.0,,of 48
FCz,cum_S7@0.25_ge1,48.0,,of 48
FCz,cum_S7@0.5_ge7,1.0,,of 48
FCz,cum_S7@0.5_ge6,9.0,,of 48
FCz,cum_S7@0.5_ge5,18.0,,of 48
FCz,cum_S7@0.5_ge4,23.0,,of 48
FCz,cum_S7@0.5_ge3,37.0,,of 48
FCz,cum_S7@0.5_ge2,41.0,,of 48
FCz,cum_S7@0.5_ge1,47.0,,of 48
FCz,cum_S7@0.75_ge7,0.0,,of 48
FCz,cum_S7@0.75_ge6,2.0,,of 48
FCz,cum_S7@0.75_ge5,4.0,,of 48
FCz,cum_S7@0.75_ge4,14.0,,of 48
FCz,cum_S7@0.75_ge3,35.0,,of 48
FCz,cum_S7@0.75_ge2,39.0,,of 48
FCz,cum_S7@0.75_ge1,44.0,,of 48
FCz,cum_S7@1.0_ge7,0.0,,of 48
FCz,cum_S7@1.0_ge6,0.0,,of 48
FCz,cum_S7@1.0_ge5,0.0,,of 48
FCz,cum_S7@1.0_ge4,9.0,,of 48
FCz,cum_S7@1.0_ge3,27.0,,of 48
FCz,cum_S7@1.0_ge2,36.0,,of 48
FCz,cum_S7@1.0_ge1,40.0,,of 48
FCz,cum_S7@1.5_ge7,0.0,,of 48
FCz,cum_S7@1.5_ge6,0.0,,of 48
FCz,cum_S7@1.5_ge5,0.0,,of 48
FCz,cum_S7@1.5_ge4,0.0,,of 48
FCz,cum_S7@1.5_ge3,12.0,,of 48
FCz,cum_S7@1.5_ge2,23.0,,of 48
FCz,cum_S7@1.5_ge1,37.0,,of 48
FCz,cum_S7@2.5_ge7,0.0,,of 48
FCz,cum_S7@2.5_ge6,0.0,,of 48
FCz,cum_S7@2.5_ge5,0.0,,of 48
FCz,cum_S7@2.5_ge4,0.0,,of 48
FCz,cum_S7@2.5_ge3,0.0,,of 48
FCz,cum_S7@2.5_ge2,12.0,,of 48
FCz,cum_S7@2.5_ge1,31.0,,of 48
frontal,regular_vs_counter_repair_null_p,-0.31293929191624026,0.0001999600079984003,null_mean=-0.0591;null_p2.5=-0.192
FCz,regular_vs_counter_repair_null_p,-0.16872782679692902,0.07678464307138572,null_mean=-0.0702;null_p2.5=-0.200
frontal,regular_vs_counter_z_pearson,-0.31293929191624026,3.6261878043830864e-05,n=168
frontal,regular_vs_counter_z_spearman,-0.15982658520659446,0.03850435651067497,n=168
FCz,regular_vs_counter_z_pearson,-0.16872782679692902,0.02879115302050672,n=168
FCz,regular_vs_counter_z_spearman,-0.21021608515850804,0.006238052605381641,n=168
