pair_id,n_agree_regular,mean_uv_regular,n_agree_counter,mean_uv_counter,n_agree_max,n_agree_min,n_agree_gap
1229,1,-1.6319,4,-1.475,4,1,3
1230,2,-2.0195,5,-1.8933,5,2,3
1231,2,-0.8379,4,-1.4152,4,2,2
1232,3,-1.4051,1,-1.1446,3,1,2
1233,2,-1.9497,2,-1.5388,2,2,0
1234,1,-2.8616,2,-1.0413,2,1,1
1235,2,-1.5793,1,-2.2615,2,1,1
1236,2,-1.0613,1,-0.9029,2,1,1
1237,4,-2.2404,1,-0.9171,4,1,3
1238,1,-1.3352,0,,1,0,1
1239,3,-1.2477,1,-2.4913,3,1,2
1240,2,-1.1692,3,-0.9461,3,2,1
1241,2,-1.2705,2,-1.5178,2,2,0
1242,2,-1.1938,2,-1.565,2,2,0
1243,3,-1.2539,2,-1.2213,3,2,1
1244,2,-1.4822,2,-0.8874,2,2,0
1245,2,-1.7187,2,-0.904,2,2,0
1246,2,-1.7323,1,-0.8966,2,1,1
1247,3,-1.3452,3,-2.5168,3,3,0
1248,2,-2.221,3,-1.2503,3,2,1
1249,1,-3.5562,3,-1.4088,3,1,2
1250,2,-2.5725,1,-1.2688,2,1,1
1251,2,-2.4598,1,-1.0676,2,1,1
1252,3,-1.9943,2,-1.0467,3,2,1
1253,2,-2.4218,3,-2.1732,3,2,1
1254,2,-2.0474,2,-1.4632,2,2,0
1255,1,-2.1862,3,-1.7891,3,1,2
1256,2,-1.4124,2,-1.2416,2,2,0
1257,2,-1.1995,2,-0.9947,2,2,0
1258,3,-2.2248,2,-1.0687,3,2,1
1259,3,-3.5031,2,-0.9168,3,2,1
1260,3,-2.83,0,,3,0,3
1261,2,-3.3228,2,-0.9899,2,2,0
1262,2,-2.0674,3,-2.1597,3,2,1
1263,3,-2.8256,4,-1.8378,4,3,1
1264,2,-2.0484,2,-1.637,2,2,0
1265,2,-2.0144,3,-1.6634,3,2,1
1266,2,-1.5332,5,-2.066,5,2,3
1267,1,-2.0733,3,-1.6971,3,1,2
1268,1,-1.9923,2,-1.1273,2,1,1
1269,2,-1.7108,1,-1.5878,2,1,1
1270,1,-1.1488,1,-1.1208,1,1,0
1271,1,-1.7699,3,-1.0519,3,1,2
1272,2,-1.452,1,-1.1944,2,1,1
1273,5,-1.8137,0,,5,0,5
1274,3,-1.1504,2,-1.9555,3,2,1
1275,1,-1.4128,1,-2.9266,1,1,0
1276,2,-0.9533,2,-0.8914,2,2,0
1277,1,-1.4982,2,-0.8601,2,1,1
1278,2,-1.234,1,-0.754,2,1,1
1279,1,-2.3659,2,-0.8434,2,1,1
1280,2,-1.7426,3,-0.9279,3,2,1
1281,2,-1.663,2,-1.5257,2,2,0
1282,2,-1.7584,4,-1.7871,4,2,2
1283,1,-3.403,4,-1.4793,4,1,3
1284,1,-3.9282,2,-1.6332,2,1,1
1285,2,-2.9777,3,-1.642,3,2,1
1286,1,-3.8286,2,-1.4614,2,1,1
