pair_id,n_agree_regular,mean_uv_regular,n_agree_counter,mean_uv_counter,n_agree_max,n_agree_min,n_agree_gap
1515,5,-2.4218,3,-1.8343,5,3,2
1518,1,-1.2718,5,-1.379,5,1,4
1525,6,-1.6006,2,-1.2613,6,2,4
1551,4,-1.2187,1,-2.4068,4,1,3
1552,4,-1.8819,3,-1.4371,4,3,1
1557,5,-1.6992,2,-1.0562,5,2,3
1565,4,-2.2505,2,-1.0663,4,2,2
1568,5,-2.2277,2,-2.2316,5,2,3
1577,4,-1.6458,1,-2.6278,4,1,3
1578,5,-2.1513,1,-1.6719,5,1,4
1583,4,-1.714,2,-1.2824,4,2,2
1587,3,-1.5311,1,-1.2295,3,1,2
1601,4,-2.3202,2,-1.4649,4,2,2
1602,4,-1.2774,1,-1.9274,4,1,3
1603,6,-2.0744,1,-1.0421,6,1,5
1613,5,-1.6626,3,-1.5442,5,3,2
1614,5,-1.4012,1,-1.0431,5,1,4
1619,3,-1.786,2,-1.3852,3,2,1
1621,4,-1.6204,3,-2.0524,4,3,1
1626,4,-1.8379,1,-1.6961,4,1,3
1627,6,-2.1366,2,-0.8935,6,2,4
1636,4,-1.2036,5,-1.3853,5,4,1
1649,5,-1.5284,2,-1.5689,5,2,3
1650,5,-2.0963,3,-1.2143,5,3,2
1675,0,,4,-1.3215,4,0,4
1676,1,-1.2734,5,-2.2299,5,1,4
1677,1,-0.7888,5,-1.5674,5,1,4
1679,3,-1.0828,5,-2.113,5,3,2
1684,2,-1.5677,3,-1.3966,3,2,1
1699,4,-2.7946,5,-1.7598,5,4,1
1701,5,-2.2003,3,-1.1194,5,3,2
1703,5,-1.9686,3,-1.7996,5,3,2
1708,5,-1.7621,1,-1.9957,5,1,4
1709,5,-1.4881,2,-1.9262,5,2,3
1710,5,-2.4161,1,-2.0285,5,1,4
1712,5,-1.8409,2,-1.4004,5,2,3
1713,4,-2.4989,4,-1.2068,4,4,0
1718,5,-1.5083,4,-1.4975,5,4,1
1720,5,-1.8494,2,-1.0588,5,2,3
1721,4,-1.9025,3,-1.6065,4,3,1
1722,5,-2.4693,2,-2.0661,5,2,3
1727,5,-2.0178,1,-1.9421,5,1,4
1729,5,-2.1268,1,-1.8056,5,1,4
1730,5,-2.1443,1,-1.5826,5,1,4
1737,5,-2.5655,1,-0.8317,5,1,4
1738,5,-2.1721,1,-0.8747,5,1,4
1739,5,-2.1073,2,-1.4094,5,2,3
1740,5,-3.143,4,-1.1729,5,4,1
1743,4,-1.7247,2,-1.4077,4,2,2
1744,5,-1.7653,4,-2.0607,5,4,1
1745,5,-2.2445,2,-1.3597,5,2,3
1746,5,-1.829,3,-1.0608,5,3,2
1747,5,-2.1579,1,-1.3662,5,1,4
1748,4,-2.296,1,-1.4865,4,1,3
1749,4,-2.051,1,-1.592,4,1,3
1750,6,-2.1727,2,-2.7773,6,2,4
1754,4,-1.4844,2,-0.9357,4,2,2
1755,5,-1.8259,1,-0.8428,5,1,4
1762,5,-2.8146,1,-0.9383,5,1,4
1763,5,-1.5064,1,-1.6328,5,1,4
1764,5,-1.8818,0,,5,0,5
1765,5,-2.9106,2,-1.1862,5,2,3
1766,6,-1.5634,0,,6,0,6
1767,4,-2.4809,3,-1.9255,4,3,1
1776,5,-1.5233,3,-2.5238,5,3,2
1778,3,-1.7741,1,-1.5971,3,1,2
1783,5,-2.1056,2,-2.2542,5,2,3
1790,3,-1.0887,5,-1.3007,5,3,2
1791,2,-0.9383,3,-2.5635,3,2,1
1793,5,-1.0563,0,,5,0,5
1794,5,-1.1331,2,-2.2928,5,2,3
1796,4,-1.2314,1,-1.0545,4,1,3
1797,5,-1.4902,1,-1.8352,5,1,4
1798,5,-1.9723,3,-2.2507,5,3,2
1807,5,-1.8374,2,-1.5227,5,2,3
1808,5,-1.4855,3,-2.8232,5,3,2
1809,6,-1.3295,2,-1.306,6,2,4
1810,5,-1.6085,1,-0.8513,5,1,4
1812,6,-2.2449,3,-2.0626,6,3,3
1825,5,-2.1726,3,-1.7924,5,3,2
1835,4,-1.6162,1,-2.5405,4,1,3
1843,4,-1.335,1,-1.144,4,1,3
1848,4,-1.7571,3,-3.1548,4,3,1
1874,5,-1.7014,1,-1.684,5,1,4
1875,5,-1.7634,3,-1.601,5,3,2
1880,4,-1.6965,1,-1.0056,4,1,3
1881,5,-2.0199,1,-1.4535,5,1,4
1882,6,-1.9948,2,-2.5748,6,2,4
1887,5,-1.9296,2,-1.2796,5,2,3
