gate,model,method,method_id,direction,f_low,f_high,semitones,pct_deviance,trough_uv,n_agree,lit_deepest_uv,margin_uv
s2,whisper-base,method_1748,1748,regular,1600.0,6400.0,24.0,300.0,-1.8343,4,-1.3437,-0.4906
s2,whisper-base,method_1708,1708,regular,1345.0,4935.0,22.5053,266.9145,-1.8248,5,-1.3437,-0.4811
s2,whisper-base,method_1400_counter,1400,counter,476.0,4150.0,37.4889,771.8487,-1.8216,4,-1.3437,-0.4779
s2,whisper-base,method_1762,1762,regular,1745.0,4935.0,17.9979,182.808,-1.8184,5,-1.3437,-0.4747
s2,whisper-base,method_1627,1627,regular,951.0,7611.0,36.0068,700.3155,-1.7866,6,-1.3437,-0.443
s2,whisper-base,method_1123,1123,regular,238.0,7611.0,59.9886,3097.8992,-1.7606,5,-1.3437,-0.4169
s2,whisper-base,method_1418_counter,1418,counter,519.0,1345.0,16.4856,159.1522,-1.7064,5,-1.3437,-0.3627
s2,whisper-base,method_1710,1710,regular,1345.0,5869.0,25.5061,336.3569,-1.7016,5,-1.3437,-0.3579
s2,whisper-base,method_1301_counter,1301,counter,367.0,4150.0,41.9911,1030.7902,-1.6887,5,-1.3437,-0.345
s2,whisper-base,method_1778,1778,regular,1903.0,4935.0,16.4973,159.3274,-1.6842,3,-1.3437,-0.3405
s2,whisper-base,method_1387_counter,1387,counter,476.0,1345.0,17.9829,182.563,-1.6784,5,-1.3437,-0.3347
s2,whisper-base,method_1709,1709,regular,1345.0,5382.0,24.0064,300.1487,-1.675,5,-1.3437,-0.3313
s2,whisper-base,method_1730,1730,regular,1467.0,6400.0,25.5024,336.2645,-1.6707,5,-1.3437,-0.327
s2,whisper-base,method_1874,1874,regular,3805.0,6979.0,10.5015,83.4166,-1.6508,5,-1.3437,-0.3071
s2,whisper-base,method_1712,1712,regular,1345.0,6979.0,28.505,418.8848,-1.6417,5,-1.3437,-0.298
s2,whisper-base,method_1355_counter,1355,counter,436.0,1345.0,19.5025,208.4862,-1.6186,5,-1.3437,-0.2749
s2,whisper-base,method_1763,1763,regular,1745.0,5382.0,19.499,208.4241,-1.6082,5,-1.3437,-0.2645
s2,whisper-base,method_1577,1577,regular,800.0,6979.0,37.4994,772.375,-1.5953,4,-1.3437,-0.2516
s2,whisper-base,method_1764,1764,regular,1745.0,5869.0,20.9987,236.3324,-1.5882,5,-1.3437,-0.2445
s2,whisper-base,method_1766,1766,regular,1745.0,6979.0,23.9975,299.9427,-1.5565,6,-1.3437,-0.2128
s2,whisper-base,method_1882,1882,regular,4150.0,7611.0,10.4997,83.3976,-1.5443,6,-1.3437,-0.2006
s2,whisper-base,method_1765,1765,regular,1745.0,6400.0,22.4981,266.7622,-1.5425,5,-1.3437,-0.1988
s2,whisper-base,method_1382_counter,1382,counter,476.0,872.0,10.4804,83.1933,-1.5371,4,-1.3437,-0.1934
s2,whisper-base,method_1266_counter,1266,counter,336.0,4150.0,43.5189,1135.119,-1.5271,5,-1.3437,-0.1834
s2,whisper-base,method_1200,1200,regular,283.0,7611.0,56.9905,2589.3993,-1.49,5,-1.3437,-0.1463
s2,whisper-base,method_1144_counter,1144,counter,259.0,1600.0,31.5246,517.7606,-1.4884,5,-1.3437,-0.1447
s2,whisper-base,method_1602,1602,regular,872.0,6979.0,36.0074,700.344,-1.4825,4,-1.3437,-0.1388
s2,whisper-base,method_1825,1825,regular,2468.0,7611.0,19.4969,208.3874,-1.4574,5,-1.3437,-0.1137
